benchmark,solver,wallclock time,result
cloud_new/non-incremental/AUFLIA/smt-comp-025.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-025.smt2,vampirecloud,9.027,UNSATISFIABLE
cloud_new/non-incremental/AUFLIA/smt-comp-026.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-026.smt2,vampirecloud,1.005,UNSATISFIABLE
cloud_new/non-incremental/AUFLIA/smt-comp-181.smt2,cvc5gg,2.563,UNSATISFIABLE
cloud_new/non-incremental/AUFLIA/smt-comp-181.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-261.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-261.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-261.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-261.smt2,par,1900.851,UNSATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-133.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-133.smt2,vampirecloud,2.008,UNSATISFIABLE
cloud_new/non-incremental/QF_BV/smt-comp-247.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-247.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-247.smt2,stp,TIMEOUT,
cloud_new/non-incremental/UFDTLIRA/smt-comp-143.smt2,cvc5gg,2.405,UNSATISFIABLE
cloud_new/non-incremental/UFDTLIRA/smt-comp-143.smt2,vampirecloud,57.164,UNSATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-347.smt2,cvc5gg,1.978,UNSATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-347.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTLIA/smt-comp-360.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-242.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-242.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFDTLIA/smt-comp-359.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDTLIA/smt-comp-359.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-118.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-118.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-118.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-290.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-290.smt2,par,7.238,UNSATISFIABLE
cloud_new/non-incremental/UFBV/smt-comp-324.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFBV/smt-comp-324.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_NRA/smt-comp-292.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NRA/smt-comp-292.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_LIA/smt-comp-087.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_LIA/smt-comp-087.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_LIA/smt-comp-087.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/QF_LIA/smt-comp-087.smt2,par,1497.001,UNSATISFIABLE
cloud_new/non-incremental/UFIDL/smt-comp-391.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFIDL/smt-comp-391.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFIDL/smt-comp-391.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-306.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-306.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-306.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_UFNRA/smt-comp-314.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_UFNRA/smt-comp-314.smt2,par,1488.792,SATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-344.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-344.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-165.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-165.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-165.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-020.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-020.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/BV/smt-comp-221.smt2,cvc5gg,2.498,UNSATISFIABLE
cloud_new/non-incremental/BV/smt-comp-221.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-135.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-135.smt2,vampirecloud,907.364,SATISFIABLE
cloud_new/non-incremental/UFDTLIA/smt-comp-357.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDTLIA/smt-comp-357.smt2,vampirecloud,1.006,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-404.smt2,cvc5gg,8.065,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-404.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-404.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/BV/smt-comp-219.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/BV/smt-comp-219.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-053.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-053.smt2,par,525.934,UNSATISFIABLE
cloud_new/non-incremental/QF_LRA/smt-comp-281.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_LRA/smt-comp-281.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_LRA/smt-comp-281.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_LRA/smt-comp-281.smt2,par,30.039,SATISFIABLE
