benchmark,solver,wallclock time,result
parallel_new/non-incremental/AUFLIRA/smt-comp-214.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-215.smt2,cvc5ggparallel,1.952,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-215.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-215.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-216.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-216.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-216.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIA/smt-comp-217.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIA/smt-comp-217.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIA/smt-comp-218.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIA/smt-comp-218.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIA/smt-comp-219.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIA/smt-comp-219.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-035.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-035.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-035.smt2,vampireparallel,812.54,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-036.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-036.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-036.smt2,vampireparallel,3.09,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-037.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-037.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-037.smt2,vampireparallel,564.715,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-038.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-038.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-038.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-220.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-220.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-220.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-221.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-221.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-221.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-222.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-222.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-222.smt2,vampireparallel,1078.029,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-223.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-223.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-223.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-224.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-224.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-224.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-225.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-225.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-225.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-226.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-226.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-226.smt2,vampireparallel,58.84,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-227.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-227.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-227.smt2,vampireparallel,953.017,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-228.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-228.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-228.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-229.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-229.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-229.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-230.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFNIRA/smt-comp-230.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-230.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-231.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFNIRA/smt-comp-231.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-231.smt2,vampireparallel,TIMEOUT,
